Genus,Sizer-6,Sizer-5,Sizer-8,Sizer-4,Sizer-3,Sizer-7,Sizer-2,Sizer-1
Acholeplasma,0,0,0,0,2,2,2,0
Actinomadura,0,0,0,0,1,2,2,1
Nocardia,1,0,1,3,0,1,0,0
Caloramator,0,1,0,0,1,4,0,0
Loktanella,0,0,0,6,0,0,0,0
Candidatus Methylacidiphilum,0,0,0,2,0,4,0,0
Labrys,0,0,1,2,2,0,0,1
Legionella,0,0,0,4,2,0,0,0
Azohydromonas,0,0,0,5,0,0,0,0
Candidatus Koribacter,0,0,0,3,0,2,0,0
Heliorestis,0,0,0,0,0,4,1,0
Buchnera,0,0,0,0,0,0,5,0
Gluconobacter,0,0,0,0,1,0,4,0
Jonesia,3,2,0,0,0,0,0,0
Myroides,0,0,0,0,0,5,0,0
Alcanivorax,0,0,0,0,0,0,5,0
Edaphobacter,2,0,0,1,1,1,0,0
Salinibacterium,0,0,0,3,0,2,0,0
Pimelobacter,0,0,0,0,0,5,0,0
Amaricoccus,1,0,1,3,0,0,0,0
Natronincola,1,1,1,0,1,1,0,0
Propionivibrio,0,0,0,0,0,0,5,0
Leptospira,0,0,0,0,0,2,1,2
Granulicella,0,0,1,0,0,0,2,2
Pseudidiomarina,0,0,0,1,1,2,1,0
Thermovenabulum,0,0,2,2,0,0,0,1
Tindallia,0,0,0,0,0,5,0,0
Planifilum,0,0,0,0,0,5,0,0
Caldithrix,0,0,1,0,2,0,0,2
Ferrimicrobium,0,0,0,0,0,5,0,0
Curvibacter,0,0,0,2,0,2,0,0
Rathayibacter,0,0,1,2,0,1,0,0
Variovorax,0,0,0,1,0,2,1,0
Microvirgula,0,0,0,4,0,0,0,0
Thermogemmatispora,1,0,0,1,0,0,1,1
Haliangium,4,0,0,0,0,0,0,0
Curtobacterium,0,0,0,0,0,1,2,1
Herbaspirillum,0,0,0,0,0,0,4,0
Methylocella,0,0,0,0,0,0,4,0
Bellilinea,0,0,0,0,0,4,0,0
Beijerinckia,0,0,0,4,0,0,0,0
Jiangella,0,1,0,2,0,0,1,0
Actinopolyspora,0,1,0,2,0,1,0,0
Desulfosporosinus,0,0,3,0,1,0,0,0
Ureibacillus,0,0,0,0,0,0,4,0
Aquicella,0,0,0,0,0,0,4,0
Methylobacillus,0,0,1,2,1,0,0,0
Sarcina,0,0,0,4,0,0,0,0
Euzebya,0,0,0,0,1,2,1,0
Lysinibacillus,0,0,0,0,2,0,2,0
Acetobacterium,0,0,1,0,1,1,1,0
Lentibacillus,1,0,0,0,0,0,2,1
Promicromonospora,0,0,1,0,0,0,0,3
Parvibaculum,0,0,0,0,0,4,0,0
Candidatus Phytoplasma,0,0,1,0,2,0,0,0
Zhihengliuella,0,1,0,0,0,0,2,0
Nitrobacter,0,0,0,0,0,0,3,0
Oenococcus,0,0,0,1,0,2,0,0
Listeria,0,0,0,0,1,2,0,0
Pseudobutyrivibrio,0,0,0,0,0,3,0,0
Collimonas,2,0,0,1,0,0,0,0
Mobiluncus,0,0,2,0,1,0,0,0
Actinomycetospora,0,0,0,0,0,0,3,0
Aurantimonas,0,0,0,0,1,2,0,0
Natroniella,0,0,1,0,1,0,0,1
Tepidimonas,0,0,0,0,0,0,3,0
Weissella,0,0,0,1,0,0,0,2
Anaeromusa,0,0,2,0,1,0,0,0
Viridibacillus,0,1,2,0,0,0,0,0
Desulfobacter,0,2,0,0,0,0,0,1
Citrobacter,0,0,0,0,0,2,1,0
Dyadobacter,0,0,0,3,0,0,0,0
Cryobacterium,0,0,0,0,0,3,0,0
Runella,0,0,0,3,0,0,0,0
Desulfurispora,0,1,0,0,1,1,0,0
Rhodoferax,0,0,0,0,0,3,0,0
Desulfomonile,0,0,0,0,0,3,0,0
Xanthobacter,0,0,0,1,0,1,1,0
Thiothrix,1,1,0,0,1,0,0,0
Deferribacter,0,1,0,0,1,0,0,1
Emticicia,0,0,0,0,0,3,0,0
Bosea,1,0,0,2,0,0,0,0
